event_type,frame_num,elapsed_us,calculated_timestamp_ms,actual_timestamp_ms,data_size_bytes,fps,audio_samples_total,video_packets_received,audio_packets_received,sequence_errors
audio,0,814743,6386811,6386439,768,59.826,5952,16858,1173,0
video,6,819817,6386450,6386444,368640,59.826,5952,16875,1174,0
video,7,820930,6386415,6386445,276480,59.826,5952,16879,1174,0
audio,0,821121,6386827,6386445,768,59.826,6144,16879,1174,0
audio,0,822319,6386843,6386446,768,59.826,6336,16884,1175,0
audio,0,826853,6386859,6386451,768,59.826,6528,16902,1176,0
audio,0,830308,6386875,6386454,768,59.826,6720,16916,1177,0
audio,0,834764,6386891,6386459,768,59.826,6912,16928,1178,0
video,7,836428,6386467,6386460,368640,59.826,6912,16933,1178,0
video,8,837367,6386432,6386461,276480,59.826,6912,16937,1178,0
audio,0,838620,6386907,6386463,768,59.826,7104,16942,1179,0
audio,0,842108,6386923,6386466,768,59.826,7296,16955,1180,0
audio,0,846656,6386939,6386471,768,59.826,7488,16974,1181,0
video,8,852727,6386483,6386477,368640,59.826,7488,16990,1182,0
video,9,853755,6386448,6386478,276480,59.826,7488,16995,1183,0
audio,0,853883,6386955,6386478,768,59.826,7680,16995,1183,0
audio,0,853983,6386971,6386478,768,59.826,7872,16995,1183,0
audio,0,858613,6386987,6386483,768,59.826,8064,17013,1184,0
audio,0,863330,6387003,6386487,768,59.826,8256,17031,1185,0
audio,0,865600,6387019,6386490,768,59.826,8448,17040,1186,0
video,9,869367,6386500,6386493,368640,59.826,8448,17052,1186,0
video,10,870276,6386465,6386494,276480,59.826,8448,17052,1187,0
audio,0,870406,6387035,6386494,768,59.826,8640,17052,1187,0
audio,0,873768,6387051,6386498,768,59.826,8832,17066,1188,0
audio,0,878418,6387067,6386502,768,59.826,9024,17084,1189,0
audio,0,882902,6387083,6386507,768,59.826,9216,17103,1190,0
video,10,886757,6386517,6386511,368640,59.826,9216,17115,1191,0
video,11,887651,6386482,6386512,276480,59.826,9216,17115,1191,0
audio,0,887791,6387099,6386512,768,59.826,9408,17115,1191,0
audio,0,890095,6387115,6386514,768,59.826,9600,17124,1192,0
audio,0,894684,6387131,6386519,768,59.826,9792,17143,1193,0
audio,0,898237,6387147,6386522,768,59.826,9984,17160,1194,0
video,11,903219,6386533,6386527,368640,59.826,9984,17173,1195,0
video,12,904145,6386498,6386528,276480,59.826,9984,17177,1195,0
audio,0,904302,6387163,6386528,768,59.826,10176,17177,1195,0
audio,0,906604,6387179,6386531,768,59.826,10368,17187,1196,0
audio,0,910024,6387195,6386534,768,59.826,10560,17201,1197,0
audio,0,913560,6387211,6386538,768,59.826,10752,17214,1198,0
video,12,918541,6386550,6386543,368640,59.826,10752,17228,1199,0
video,13,919499,6386515,6386544,276480,59.826,10752,17231,1199,0
audio,0,919630,6387227,6386544,768,59.826,10944,17231,1199,0
audio,0,923004,6387243,6386547,768,59.826,11136,17245,1200,0
audio,0,926556,6387259,6386551,768,59.826,11328,17259,1201,0
audio,0,930997,6387275,6386555,768,59.826,11520,17277,1202,0
audio,0,934435,6387291,6386558,768,59.826,11712,17288,1203,0
video,13,936107,6386567,6386560,368640,59.826,11712,17290,1203,0
video,14,937076,6386532,6386561,276480,59.826,11712,17294,1203,0
audio,0,938354,6387307,6386562,768,59.826,11904,17299,1204,0
audio,0,942842,6387323,6386567,768,59.826,12096,17317,1205,0
audio,0,946440,6387339,6386570,768,59.826,12288,17331,1206,0
audio,0,950867,6387355,6386575,768,59.826,12480,17348,1207,0
video,14,952494,6386584,6386577,368640,59.826,12480,17348,1207,0
video,15,953460,6386549,6386577,276480,59.826,12480,17352,1208,0
audio,0,953590,6387371,6386578,768,59.826,12672,17352,1208,0
audio,0,958145,6387387,6386582,768,59.826,12864,17371,1209,0
audio,0,961513,6387403,6386586,768,59.826,13056,17385,1210,0
audio,0,965920,6387419,6386590,768,59.826,13248,17403,1211,0
video,15,968716,6386600,6386593,368640,59.826,13248,17408,1211,0
video,16,969608,6386565,6386594,276480,59.826,13248,17411,1211,0
audio,0,970857,6387435,6386595,768,59.826,13440,17415,1212,0
audio,0,974354,6387451,6386598,768,59.826,13632,17429,1213,0
audio,0,978803,6387467,6386603,768,59.826,13824,17447,1214,0
audio,0,983448,6387483,6386607,768,59.826,14016,17466,1215,0
video,16,986203,6386617,6386610,368640,59.826,14016,17469,1216,0
video,17,987188,6386582,6386611,276480,59.826,14016,17473,1216,0
audio,0,987311,6387499,6386611,768,59.826,14208,17473,1216,0
audio,0,990679,6387515,6386615,768,59.826,14400,17487,1217,0
audio,0,994057,6387531,6386618,768,59.826,14592,17501,1218,0
audio,0,998605,6387547,6386623,768,59.826,14784,17519,1219,0
video,17,1002558,6386634,6386627,368640,59.826,14784,17528,1220,0
video,18,1003496,6386599,6386628,276480,59.826,14784,17531,1220,0
audio,0,1003625,6387563,6386628,768,59.826,14976,17531,1220,0
audio,0,1005905,6387579,6386630,768,59.826,15168,17540,1221,0
audio,0,1010695,6387595,6386635,768,59.826,15360,17558,1222,0
audio,0,1014086,6387611,6386638,768,59.826,15552,17572,1223,0
audio,0,1018665,6387627,6386643,768,59.826,15744,17588,1224,0
video,18,1020322,6386650,6386644,368640,59.826,15744,17593,1224,0
video,19,1021277,6386615,6386645,276480,59.826,15744,17598,1224,0
audio,0,1022538,6387643,6386647,768,59.826,15936,17602,1225,0
audio,0,1025909,6387659,6386650,768,59.826,16128,17613,1226,0
audio,0,1030549,6387675,6386655,768,59.826,16320,17631,1227,0
audio,0,1035122,6387691,6386659,768,59.826,16512,17648,1228,0
video,19,1037246,6386667,6386661,368640,59.826,16512,17653,1228,0
video,20,1038651,6386632,6386663,276480,59.826,16512,17657,1229,0
audio,0,1038839,6387707,6386663,768,59.826,16704,17660,1229,0
audio,0,1042220,6387723,6386666,768,59.826,16896,17671,1230,0
audio,0,1046734,6387739,6386671,768,59.826,17088,17690,1231,0
audio,0,1050036,6387755,6386674,768,59.826,17280,17703,1232,0
video,20,1052108,6386684,6386676,368640,59.826,17280,17708,1232,0
video,21,1052669,6386649,6386677,276480,59.826,17280,17710,1232,0
audio,0,1054923,6387771,6386679,768,59.826,17472,17719,1233,0
audio,0,1060348,6387787,6386684,768,59.826,17664,17737,1234,0
audio,0,1062513,6387803,6386687,768,59.826,17856,17745,1235,0
audio,0,1066825,6387819,6386691,768,59.826,18048,17763,1236,0
video,21,1069664,6386701,6386694,368640,59.826,18048,17770,1236,0
video,22,1069988,6386666,6386694,276480,59.826,18048,17770,1236,0
audio,0,1071099,6387835,6386695,768,59.826,18240,17775,1237,0
audio,0,1074386,6387851,6386698,768,59.826,18432,17788,1238,0
audio,0,1078677,6387867,6386703,768,59.826,18624,17805,1239,0
audio,0,1082951,6387883,6386707,768,59.826,18816,17823,1240,0
video,22,1085746,6386717,6386710,368640,59.826,18816,17828,1241,0
video,23,1086078,6386682,6386710,276480,59.826,18816,17830,1241,0
audio,0,1086131,6387899,6386710,768,59.826,19008,17830,1241,0
audio,0,1090582,6387915,6386715,768,59.826,19200,17847,1242,0
audio,0,1094999,6387931,6386719,768,59.826,19392,17864,1243,0
audio,0,1098322,6387947,6386722,768,59.826,19584,17879,1244,0
video,23,1103221,6386734,6386727,368640,59.826,19584,17890,1245,0
video,24,1103546,6386699,6386728,276480,59.826,19584,17890,1245,0
audio,0,1103592,6387963,6386728,768,59.826,19776,17890,1245,0
audio,0,1106844,6387979,6386731,768,59.826,19968,17903,1246,0
audio,0,1110086,6387995,6386734,768,59.826,20160,17916,1247,0
audio,0,1114582,6388011,6386739,768,59.826,20352,17,1248,0
video,24,1119661,6386751,6386744,368640,59.826,20352,33,1249,0
video,25,1120089,6386716,6386744,276480,59.826,20352,33,1249,0
audio,0,1120166,6388027,6386744,768,59.826,20544,33,1249,0
audio,0,1122402,6388043,6386746,768,59.826,20736,42,1250,0
audio,0,1126883,6388059,6386751,768,59.826,20928,59,1251,0
audio,0,1130306,6388075,6386754,768,59.826,21120,72,1252,0
audio,0,1134723,6388091,6386759,768,59.826,21312,90,1253,0
video,25,1137145,6386767,6386761,368640,59.826,21312,93,1253,0
video,26,1137908,6386732,6386762,276480,59.826,21312,97,1254,0
audio,0,1138027,6388107,6386762,768,59.826,21504,97,1254,0
audio,0,1142520,6388123,6386767,768,59.826,21696,116,1255,0
audio,0,1145973,6388139,6386770,768,59.826,21888,130,1256,0
audio,0,1150637,6388155,6386775,768,59.826,22080,148,1257,0
video,26,1153877,6386784,6386778,368640,59.826,22080,157,1257,0
video,27,1155092,6386749,6386779,276480,59.826,22080,161,1258,0
audio,0,1155262,6388171,6386779,768,59.826,22272,161,1258,0
audio,0,1158636,6388187,6386783,768,59.826,22464,175,1259,0
audio,0,1164469,6388203,6386788,768,59.826,22656,199,1260,0
audio,0,1165716,6388219,6386790,768,59.826,22848,203,1261,0
video,27,1170085,6386801,6386794,368640,59.826,22848,211,1262,0
video,28,1171300,6386766,6386795,276480,59.826,22848,216,1262,0
audio,0,1171498,6388235,6386796,768,59.826,23040,218,1262,0
