event_type,frame_num,elapsed_us,calculated_timestamp_ms,actual_timestamp_ms,data_size_bytes,fps,audio_samples_total,video_packets_received,audio_packets_received,sequence_errors
audio,0,1686642,6390299,6387311,768,59.826,47808,2071,1391,0
video,58,1688741,6387319,6387313,368640,59.826,47808,2076,1391,0
video,59,1690012,6387284,6387314,276480,59.826,47808,2081,1391,0
audio,0,1691354,6390315,6387315,768,59.826,48000,2085,1392,0
audio,0,1694958,6390331,6387319,768,59.826,48192,2099,1393,0
audio,0,1699539,6390347,6387324,768,59.826,48384,2119,1394,0
audio,0,1702996,6390363,6387327,768,59.826,48576,2131,1395,0
video,59,1705258,6387336,6387329,368640,59.826,48576,2136,1395,0
video,60,1706729,6387301,6387331,276480,59.826,48576,2141,1395,0
audio,0,1708039,6390379,6387332,768,59.826,48768,2146,1396,0
audio,0,1711542,6390395,6387336,768,59.826,48960,2160,1397,0
audio,0,1715144,6390411,6387339,768,59.826,49152,2174,1398,0
audio,0,1719679,6390427,6387344,768,59.826,49344,2189,1399,0
video,60,1723164,6387352,6387347,368640,59.826,49344,2200,1400,0
video,61,1724469,6387317,6387348,276480,59.826,49344,2204,1400,0
audio,0,1724689,6390443,6387349,768,59.826,49536,2204,1400,0
video,61,1754646,6387386,6387379,368640,59.826,49536,2306,1407,0
video,61,1771463,6387402,6387395,368640,59.826,49536,2367,1411,0
video,61,1788511,6387419,6387413,368640,59.826,49536,2428,1415,0
video,61,1804497,6387436,6387429,368640,59.826,49536,2486,1419,0
video,61,1822993,6387453,6387447,368640,59.826,49536,2552,1423,0
video,61,1837998,6387469,6387462,368640,59.826,49536,2606,1427,0
video,61,1855228,6387486,6387479,368640,59.826,49536,2669,1432,0
video,61,1872521,6387503,6387497,368640,59.826,49536,2731,1436,0
video,61,1888779,6387519,6387513,368640,59.826,49536,2788,1440,0
video,61,1904302,6387536,6387528,368640,59.826,49536,2846,1444,0
video,61,1921608,6387553,6387546,368640,59.826,49536,2906,1448,0
video,61,1937831,6387569,6387562,368640,59.826,49536,2966,1452,0
video,61,1955656,6387586,6387580,368640,59.826,49536,3029,1457,0
video,61,1974537,6387603,6387599,368640,59.826,49536,3097,1461,0
video,61,1990857,6387620,6387615,368640,59.826,49536,3156,1466,0
video,61,2006883,6387636,6387631,368640,59.826,49536,3211,1469,0
video,61,2022925,6387653,6387647,368640,59.826,49536,3270,1473,0
video,61,2039900,6387670,6387664,368640,59.826,49536,3331,1478,0
video,61,2055657,6387686,6387680,368640,59.826,49536,3386,1482,0
video,61,2073776,6387703,6387698,368640,59.826,49536,3453,1486,0
video,61,2089595,6387720,6387714,368640,59.826,49536,3507,1490,0
video,61,2106569,6387737,6387731,368640,59.826,49536,3571,1494,0
video,61,2123250,6387753,6387747,368640,59.826,49536,3630,1498,0
video,61,2140092,6387770,6387764,368640,59.826,49536,3690,1503,0
video,61,2156954,6387787,6387781,368640,59.826,49536,3750,1507,0
video,61,2173883,6387803,6387798,368640,59.826,49536,3811,1511,0
video,61,2189657,6387820,6387814,368640,59.826,49536,3866,1515,0
video,61,2206660,6387837,6387831,368640,59.826,49536,3930,1519,0
video,61,2223624,6387854,6387848,368640,59.826,49536,3989,1524,0
